date,reg5168,buy5168,f591,leju,lehu
2026-06-08,754528,312320,1749037,71111,54254
2026-06-08,754952,312452,1757661,71142,54300
2026-06-09,755039,312477,1759235,71142,54306
2026-06-09,755429,312603,1766265,71161,54344
2026-06-10,755845,312704,1772407,71170,54370
2026-06-11,756503,312879,1781100,71190,54425
2026-06-11,756528,312885,1781304,71191,54425
2026-06-12,757901,313161,1797235,71217,54512
2026-06-13,758726,313292,1805225,71229,54568
2026-06-14,759663,313468,1815154,71252,54618
2026-06-16,760772,313691,1829662,71289,54683
